"Banque","Type","Longitude","Latitude","Adresse"
"banque_populaire","cooperative",5.405824,43.45988,"1C, ave de Lattre de TassignyLieudit La Mounine13320 BOUC BEL AIR"
"banque_populaire","cooperative",4.949217,43.860969,"4 rue Eucher Ferrier13440 CABANNES"
"banque_populaire","cooperative",5.543942,43.222674,"47, avenue Marechal Foch13260 CASSIS"
"banque_populaire","cooperative",4.855243,43.884508,"15 AVENUE AUGUSTE CHAPELLE13160 CHATEAURENARD"
"banque_populaire","cooperative",5.03197,43.694744,"1 RUE DU COUVENT13430 EYGUIERES"
"banque_populaire","cooperative",5.469052,43.454133,"12, bd Bontemps13120 GARDANNE"
"banque_populaire","cooperative",4.987969,43.5105,"6 BOULEVARD JEAN-JACQUES PRAT13800 ISTRES"
"banque_populaire","cooperative",5.598628,43.185492,"Centre Commercial Ancre Marine, Chem. du Puits de Brunet, 13600 La Ciotat"
"banque_populaire","cooperative",5.51618,43.280299,"Pl Jean PellegrinImmeuble La Bourgade13821 LA PENNE SUR HUVEAUNE"
"banque_populaire","cooperative",5.262805,43.656276,"3 AVENUE DU 11 NOVEMBRE 191813410 LAMBESC"
"banque_populaire","cooperative",5.322371,43.409788,"1, ave Plan de Campagne, le Logis Neuf13170 LES PENNES MIRABEAU"
"banque_populaire","cooperative",5.216504,43.416179,"27 bis, cours Mirabeau13700 MARIGNANE"
"banque_populaire","cooperative",5.218222,43.411534,"Avenue du 8 Mai 1945Rond Point de l'Hélicoptère13700 MARIGNANE"
"banque_populaire","cooperative",5.39898,43.289857,"264, bd Baille13005 MARSEILLE"
"banque_populaire","cooperative",5.435175,43.307965,"2, avenue de la Rosière13012 MARSEILLE"
"banque_populaire","cooperative",5.397295,43.302618,"8, bd de la Blancarde13004 MARSEILLE"
"banque_populaire","cooperative",5.446819,43.342922,"1, rue Augustin Fresnel13013 MARSEILLE"
"banque_populaire","cooperative",5.397542,43.299853,"30, bd Georges Clemenceau13004 MARSEILLE"
