"Banque","Type","Adresse"
"Société Générale","Lucrative","12 RUE DU PALAIS17000 LA ROCHELLE"
"Société Générale","Lucrative","48 AV JEAN MONNET17000 LA ROCHELLE"
"Société Générale","Lucrative","125 BD ANDRE SAUTEL17000 LA ROCHELLE"
"Société Générale","Lucrative","AV DU FIEF ROSE17140 LAGORD"
"Société Générale","Lucrative","PL GAL DE GAULLE17480 CHATEAU D'OLERON"
"Société Générale","Lucrative","7 RUE PASTEUR17800 PONS"
"Société Générale","Lucrative","28 B RUE DE PUYRAVAULT17300 ROCHEFORT"
"Société Générale","Lucrative","3 FRONT DE MER17200 ROYAN"
"Société Générale","Lucrative","5 PL ANDRE LEMOYNE17400 ST-JEAN-D'ANGELY"
"Société Générale","Lucrative","RTE DE LA FLOTTE17410 SAINT MARTIN DE RE"
"Société Générale","Lucrative","44 CRS NATIONAL17100 SAINTES"
"Société Générale","Lucrative","28 B PL GEN DE GAULLE17600 SAUJON"
"Société Générale","Lucrative","16 PL DE L'EUROPE17700 SURGERES"
"Société Générale","Lucrative","124 AV MARCEL HAEGELEN18000 BOURGES"
"Société Générale","Lucrative","24A RUE DU COMMERCE18000 BOURGES"
"Société Générale","Lucrative","24B RUE DU COMMERCE18000 BOURGES"
"Société Générale","Lucrative","163 RUE JEANNE D'ARC18500 MEHUN-SUR-YEVRE"
"Société Générale","Lucrative","7 RUE BENJAMIN CONSTANT18200 ST AMAND MONTROND"
"Société Générale","Lucrative","4 PL HOTEL DE VILLE18230 ST-DOULCHARD"
"Société Générale","Lucrative","21 AV G. DORDAIN18400 ST FLORENT/CHER"
"Société Générale","Lucrative","14 RUE REPUBLIQUE18100 VIERZON"
"Société Générale","Lucrative","1 AV JEAN JAURES19100 BRIVE-LA-GAILLARDE"
"Société Générale","Lucrative","AV CYPRIEN FAURIE19100 BRIVE LA GAILLARDE"
"Société Générale","Lucrative","1 AV JEAN JAURES19100 BRIVE LA GAILLARDE"
"Société Générale","Lucrative","15 AV PIERRE ET MARIE CURIE19360 MALEMORT-SUR-CORREZE"
"Société Générale","Lucrative","1 PL DU 11 NOVEMBRE19130 OBJAT"
"Société Générale","Lucrative","21 QU A.DE CHAMMARD19000 TULLE"
"Société Générale","Lucrative","3 AV MARMONTEL19200 USSEL"
"Société Générale","Lucrative","4 RUE SERGENT CASALONGA20000 AJACCIO"
"Société Générale","Lucrative","111 CRS NAPOLEON20090 AJACCIO"
"Société Générale","Lucrative","4 RUE SERGENT CASALONGA20000 AJACCIO"
"Société Générale","Lucrative","24 CRS LUCIEN BONAPARTE20000 AJACCIO"
"Société Générale","Lucrative","38 RUE SAINT ERASME20169 BONIFACIO"
"Société Générale","Lucrative","LES MARINES II20166 PORTICCIO"
"Société Générale","Lucrative","LES QUATRE CHEMINS20137 PORTO-VECCHIO"
"Société Générale","Lucrative","6 AV DES PECHEURS20110 PROPRIANO"
"Société Générale","Lucrative","RTE NATIONALE 19420167 SARROLA CARCOPINO"
"Société Générale","Lucrative","1 RUE DU JUGE FALCONE20200 BASTIA"
